#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
109,Jenny (I Wanna Ruin Our Friendship),Studio Killers,71,134,,,Jenny (I Wanna Ruin Our Friendship),12/4/2020,3:35,67,80,0,1,57,0,20,-6,B Major,4,8/14/2023,4JLBDUYSaOMPYND0iWeSWQ,Atlantic Records,1B,https://p.scdn.co/mp3-preview/5c40da4bfa1b5c3648a6583e497b6ce4cf968157?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f8c22e6412de45872bd66286
110,"Freed From Desire - prod. Molella, Phil Jay","Gala,Molella,Phil Jay",81,129,"eurodance, hip house, italo dance, ","Pop, Electronic",Come Into My Life (The Album),11/17/1997,3:33,70,86,59,6,64,0,10,-4,D Minor,4,8/14/2023,3u5N55tHf7hXATSQrjBh2q,Do It Yourself,7A,https://p.scdn.co/mp3-preview/1d3a642a08cdfc7bd103ec66033d50f6d49f41e9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e3a26492e5b3a5f37021bd2d
111,Glitter & Gold,Barns Courtney,72,170,modern alternative rock,Rock,The Attractions Of Youth,9/29/2017,2:56,49,63,37,0,35,0,20,-5,G#/A♭ Major,4,8/14/2023,1Mf27cnAF1Q6Ko83XTM5d1,EMI,4B,,https://i.scdn.co/image/ab67616d000048512a9e5743f2d7c93c43fee849
112,Middle Finger,Bohnes,2,128,"dark r&b, rebel blues","R&B, Blues",Middle Finger - Single,12/14/2015,3:49,69,66,44,0,39,0,30,-6,C♯/D♭ Minor,4,8/14/2023,0IK8y0vAO0sM630HsxwLht,Line and Sinker,12A,,https://i.scdn.co/image/ab67616d00004851869f786f8b6598461ed09fd9
113,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics,Annie Lennox,Dave Stewart",86,125,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop, singer-songwriter, rock keyboard","Rock, Pop, Folk/Acoustic",Sweet Dreams (Are Made Of This),1/4/1983,3:36,69,71,23,0,88,0,10,-7,C Minor,4,8/14/2023,1TfqLAPs4K3s2rJMoCokcS,RCA Records Label,5A,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b3994c94dfb241923664bb4d
114,Crawling,Linkin Park,81,105,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock",Hybrid Theory (Bonus Edition),10/24/2000,3:28,58,70,5,0,30,0,50,-6,E Major,4,8/14/2023,57BrRMwf9LrcmuOsyGilwr,Warner Records,12B,https://p.scdn.co/mp3-preview/757e39055aca3abc9157fe579869d63baca5a54e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a
115,Numb,Linkin Park,88,110,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock",Meteora,9/16/2003,3:05,50,86,0,0,24,0,60,-4,A Major,4,8/14/2023,2nLtzopw4rPReszdYBJU6h,Warner Records,11B,https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b4ad7ebaf4575f120eb3f193
116,In the End,Linkin Park,90,105,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock",Hybrid Theory (Bonus Edition),10/24/2000,3:36,56,86,1,0,40,0,20,-6,D#/E♭ Minor,4,8/14/2023,60a0Rd6pjrkxjPbaKzXjfq,Warner Records,2A,https://p.scdn.co/mp3-preview/b5ee275ca337899f762b1c1883c11e24a04075b0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a
117,Remember the Name (feat. Styles of Beyond),"Fort Minor,Styles Of Beyond",67,85,"rap rock, cali rap","Hip Hop, Rock",The Rising Tied,11/15/2005,3:50,69,84,6,0,88,0,0,-4,G#/A♭ Major,4,8/14/2023,6ljbkNIzfmFrGyYUTUAleN,Machine Shop/Warner Records,4B,https://p.scdn.co/mp3-preview/f83adb782b5be27c28c73d93ad87ac3a8f2c918d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851100fb4649eae80922bf1acbf
118,Courtesy Call,Thousand Foot Krutch,0,164,"alternative metal, canadian ccm, canadian metal, canadian rock, christian alternative rock, christian rock, rap metal","Metal, Pop, Rock",The End Is Where We Begin,4/17/2012,3:56,53,63,0,0,45,0,0,-5,B Minor,4,8/14/2023,4iWYPj04kHXcZK0st5yzZf,TFKmusic,10A,,https://i.scdn.co/image/ab67616d00004851405821bcbb01d247dd24ec63
119,Undead,Hollywood Undead,0,163,"alternative metal, modern rock, post-grunge, rap metal, rap rock","Metal, Rock",Swan Songs,2008-00-00,4:25,51,94,1,0,49,10,20,-5,D Minor,4,8/14/2023,4U0p10TUdRyhQ06ZqGAtxx,Interscope Records*,7A,,https://i.scdn.co/image/ab67616d00004851525ded09b8ddb00060f4e9d5
120,Basket Case,Green Day,85,85,"modern rock, permanent wave, punk, rock",Rock,Dookie,2/1/1994,3:01,44,94,0,0,78,0,0,-3,D#/E♭ Major,4,8/14/2023,6L89mwZXSOwYl76YXfX13s,Reprise,5B,https://p.scdn.co/mp3-preview/f055a866d726bac8593f15953d772c631505df7e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db89b08034de626ebee6823d
121,American Idiot,Green Day,84,186,"modern rock, permanent wave, punk, rock",Rock,American Idiot,9/21/2004,2:56,38,99,0,0,77,0,30,-2,C♯/D♭ Major,4,8/14/2023,6nTiIhLmQ3FWhvrGafw2zj,Reprise,3B,https://p.scdn.co/mp3-preview/2e9359e821b18414235d870a4d2671f4337c8682?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108a1b1e0674086d3f1995e1b
122,Rumors,NEFFEX,72,75,,,Rumors,4/26/2017,4:07,67,71,6,0,52,10,40,-8,G#/A♭ Major,4,8/14/2023,7wOqBOryVGD3nqDUihDSwL,Burning Boat,4B,https://p.scdn.co/mp3-preview/5d67dad8b0790e04abaac5b70ecea720e89bad7f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d5568dedd90ea5dcc0fd063a
123,Thnks fr th Mmrs,Fall Out Boy,0,155,"emo, modern rock, pop, rock","Rock, Pop",Infinity On High (Deluxe Edition),1/1/2007,3:23,46,89,1,0,59,0,10,-5,A#/B♭ Minor,4,8/14/2023,18GC3F8YPGB8CePXcTUizQ,Universal Music Group,3A,,https://i.scdn.co/image/ab67616d00004851a2acd73823d95cb66d0d98fd
124,All Star,Smash Mouth,82,104,"pop rock, post-grunge","Rock, Metal",Astro Lounge,6/8/1999,3:20,73,87,4,0,78,0,0,-6,B Major,4,8/14/2023,3cfOd4CMv2snFaKAnMdnvK,Interscope,1B,,https://i.scdn.co/image/ab67616d000048514f3bbf9631faeb8de9912a23
125,Dance Monkey,Tones And I,72,98,australian pop,Pop,The Kids Are Coming,8/29/2019,3:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,8/14/2023,5ZULALImTm80tzUbYQYM9d,Elektra (NEK),11A,https://p.scdn.co/mp3-preview/d03d7e46e89547f5a1994483f27e221c8de1f5c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aa1beea495a0070294c30e31
126,death bed (coffee for your head),"Powfu,beabadoobee",83,144,"sad lo-fi, sad rap, bedroom pop, bubblegrunge, indie pop, pov: indie","Pop, Rock, Electronic, Hip Hop",death bed (coffee for your head),2/8/2020,2:53,73,43,73,0,35,10,70,-9,G#/A♭ Minor,4,8/14/2023,7eJMfftS33KTjuF7lTsMCx,Columbia,1A,https://p.scdn.co/mp3-preview/e88548073883ae36ba42ee5f1d1096568e417737?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf01fd0986a195d485922167
