#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
203,Kendi Evimde Deplasmandayım,Yüzyüzeyken Konuşuruz,0,182,"turkish alternative rock, turkish rock",Rock,Evdekilere Selam,9/17/2013,4:34,35,72,35,0,84,10,20,-8,D Minor,4,8/22/2023,57Ikl6MXmHZB1L005f3Gie,FONO MÜZİK ÜRETİM,7A,,https://i.scdn.co/image/ab67616d0000485183aacc55c4dd0c99b11c2456
204,Kazılı Kuyum,Yüzyüzeyken Konuşuruz,66,90,"turkish alternative rock, turkish rock",Rock,Kazılı Kuyum,1/10/2020,3:28,62,65,26,0,88,0,0,-9,B Minor,4,8/22/2023,5DJEXxOutnFD5GEUVk88yE,SONY MUSIC TURKEY,10A,https://p.scdn.co/mp3-preview/d75fc437164327d45b59cfb5084766526e74f3bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ee7eb2120cc1d3209b255b5d
205,Siktiret Boşver,Redd,58,130,turkish rock,Rock,Yersiz Göksüz Zamanlar,3/22/2019,3:22,58,55,6,0,47,0,20,-9,D Minor,4,8/22/2023,0rzitPCZqCrhC9v8FgnJBf,GARAJ,7A,https://p.scdn.co/mp3-preview/3466e895d1d1b818f1c3d9eac2f9f252ca93a4ff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d70aaa8d075b0c6c0e850219
206,Cevapsız Sorular,maNga,68,188,turkish rock,Rock,Şehr-i Hüzün,11/9/2009,4:32,46,70,10,0,45,0,10,-5,C♯/D♭ Minor,4,8/22/2023,03INrUW4VCJpDXKQzNEaKS,SONY MUSIC TURKEY,12A,https://p.scdn.co/mp3-preview/e18119e00167e2b20a53ba61fd062b76c0d6cafc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518706180dd9d58d662291fca3
207,Dursun Zaman (feat. Göksel),"maNga,Göksel",67,186,"turkish rock, turkce slow sarkilar, turkish pop","Pop, Rock",maNga +,1/27/2004,4:55,41,90,9,0,46,20,0,-6,D Major,4,8/22/2023,110lLYj8VghNryOewSj15h,SONY MUSIC TURKEY,10B,https://p.scdn.co/mp3-preview/5800c88ba6e0b8bfd138fee90b54c68bf48865e8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c550b05098ae3723e0a8dc6c
208,Dünyanın Sonuna Doğmuşum,maNga,63,137,turkish rock,Rock,Şehr-i Hüzün,11/9/2009,4:20,64,92,5,0,84,0,30,-3,F#/G♭ Minor,4,8/22/2023,2AlPvpsWlG7dEfhfNf9qJR,SONY MUSIC TURKEY,11A,https://p.scdn.co/mp3-preview/42daba42062d90f21bd7a7c6bad199947a0e91cb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518706180dd9d58d662291fca3
209,Yine Yeni Yeniden - Yeniden Sev,maNga,64,136,turkish rock,Rock,Yine Yeni Yeniden (Yeniden Sev),4/2/2015,3:35,59,89,0,0,64,0,10,-5,B Major,4,8/22/2023,3u2hBezoNDJdMfbrKYdMwL,Poll Production,1B,https://p.scdn.co/mp3-preview/f8013ce9b7773c99569216c04f6723a96511747d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851101c40b91aff35911d612fa6
210,Işıkları Söndürseler Bile,maNga,65,107,turkish rock,Rock,Işıkları Söndürseler Bile,4/14/2014,4:28,54,85,0,0,39,0,10,-6,D Minor,3,8/22/2023,4reNFAKWdv4VlwCQDDmXVP,Poll Production,7A,https://p.scdn.co/mp3-preview/8e0baf192a52384a445875ff68f7711e7d8c8821?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fe497d4525641b2ea01590e7
211,Bir Kadın Çizeceksin,maNga,61,122,turkish rock,Rock,maNga +,1/27/2004,3:59,70,93,6,0,79,0,10,-5,G Major,4,8/22/2023,397A58sUsAVNZlvriDmfl9,SONY MUSIC TURKEY,9B,https://p.scdn.co/mp3-preview/e66ba2b95d0cb4abf1e48dd60dffaeaca9b456bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c550b05098ae3723e0a8dc6c
212,Beni Benimle Bırak,maNga,59,156,turkish rock,Rock,Şehr-i Hüzün,11/9/2009,3:29,54,95,2,0,66,0,0,-3,F#/G♭ Minor,4,8/22/2023,30hoPcypN51Y11q6lnI6mB,SONY MUSIC TURKEY,11A,https://p.scdn.co/mp3-preview/02eb2dde5b7bd4d6ea7b2ee528181e0b5c15cd90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518706180dd9d58d662291fca3
213,Alışırım Gözlerimi Kapamaya,maNga,54,92,turkish rock,Rock,Şehr-i Hüzün,11/9/2009,5:54,61,77,5,0,53,0,10,-4,F Major,4,8/22/2023,3AD2aBZKRlzUkVYzKiU9WS,SONY MUSIC TURKEY,7B,https://p.scdn.co/mp3-preview/8ffaad56039af20f82cf2b7f338058b490aa7333?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518706180dd9d58d662291fca3
214,Hint Kumaşı,maNga,54,144,turkish rock,Rock,Işıkları Söndürseler Bile,4/14/2014,4:43,52,89,0,0,47,0,40,-6,A Minor,4,8/22/2023,1aRABBOEWL5ArSWcNdFnOv,Poll Production,8A,https://p.scdn.co/mp3-preview/dfbddc76d67c4451f9ddeabbe6b4ef8b8d36a98f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fe497d4525641b2ea01590e7
215,Fazla Aşkı Olan Var Mı?,maNga,44,75,turkish rock,Rock,Işıkları Söndürseler Bile,4/14/2014,3:38,52,87,0,0,45,0,40,-5,C Major,4,8/22/2023,3RvAr0vSdMvfq8Y9b75Aw1,Poll Production,8B,https://p.scdn.co/mp3-preview/7316c6c348af6a55171079e40d47512149f885b4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fe497d4525641b2ea01590e7
216,Kupa Kızı Ve Sinek Valesi,Teoman,68,95,turkish rock,Rock,Teo,3/5/2003,4:55,59,77,2,0,37,0,30,-6,G#/A♭ Minor,4,8/22/2023,68xnudIZzP49DreYAMlbqZ,AVRUPA MÜZİK YAPIM,1A,https://p.scdn.co/mp3-preview/3d0cfa90ce49ee13aa98dbad418e96452fdb00b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485157d480949eabcea5aba85123
217,Serseri,Teoman,65,75,turkish rock,Rock,Eski Bir Rüya Uğruna...,3/16/2015,3:41,67,52,12,0,52,0,0,-6,F#/G♭ Minor,4,8/22/2023,3717eMglfGPYr9YKzdsiho,AVRUPA MÜZİK YAPIM,11A,https://p.scdn.co/mp3-preview/acc1ffb1e68a68f9c2675d88cd95e7c0d2a1a2bf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a8d2d4187ec1a616d97b57d2
218,Uykusuz Her Gece,Teoman,51,130,turkish rock,Rock,17,4/28/2000,3:53,75,87,16,0,74,10,20,-4,E Minor,4,8/22/2023,6IQkc9xHpZ0CFF9SXrPwK4,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,9A,,https://i.scdn.co/image/ab67616d00004851e4d6c8a66d43a753f821038a
219,Paramparça,Teoman,61,95,turkish rock,Rock,17,4/28/2000,3:52,70,79,20,0,82,0,40,-5,B Major,4,8/22/2023,0vWr52Zx9XHl3qOVefySzY,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,1B,,https://i.scdn.co/image/ab67616d00004851e4d6c8a66d43a753f821038a
220,Renkli Rüyalar Oteli,Teoman,61,108,turkish rock,Rock,Renkli Rüyalar Oteli,1/5/2006,4:33,60,88,15,0,77,0,0,-4,D Minor,4,8/22/2023,3ps9amJ8VfgTZcbrhtBd4o,AVRUPA MÜZİK YAPIM,7A,https://p.scdn.co/mp3-preview/a0b97f6e631804de1413a648e4c2ada821996d12?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a2bb9822f08a9e8dd316aff
221,Bir Derdim Var,mor ve ötesi,74,119,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock",Dünya Yalan Söylüyor,4/16/2004,3:24,59,89,1,1,43,0,10,-2,B Minor,4,8/22/2023,5UV2oqgMXvlkOvvtK3aT7f,RAKUN MÜZİK FİLM,10A,https://p.scdn.co/mp3-preview/eeec3ac5fa6da47ecce4259a590f53d3a6d48640?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161cd6f5ad7c69b76adbc5419
222,Cambaz,mor ve ötesi,67,154,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock",Dünya Yalan Söylüyor,4/16/2004,3:50,54,88,2,0,65,0,20,-2,A Major,4,8/22/2023,3ZkA3JnqluUWzwr64BBkl4,RAKUN MÜZİK FİLM,11B,https://p.scdn.co/mp3-preview/ceaf95988b240089a1d593d98369c56e2e4a34fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161cd6f5ad7c69b76adbc5419
223,Oyunbozan,mor ve ötesi,66,131,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock",Güneşi Beklerken,12/17/2012,4:37,49,87,0,1,63,0,10,-5,B Minor,4,8/22/2023,5DbtYgRjkUIapSm2Ilr81D,RAKUN MÜZİK FİLM,10A,https://p.scdn.co/mp3-preview/3881ed43753ee6dc2f8e869dae43226d59c77bf8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517da7e8530ec24f3755115ca0
224,Daha Mutlu Olamam,mor ve ötesi,65,136,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock",Gül Kendine,2001-00-00,3:40,49,70,1,0,56,0,0,-7,A Major,4,8/22/2023,2eLrEVKhufuCkMn0NhdWUJ,ADA MÜZİK,11B,https://p.scdn.co/mp3-preview/eb21f5d206e5f923adbc0b6f815ddf49671a9b2b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851598a4aef0e9be51b51ea770e
225,Deli,mor ve ötesi,61,75,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock",Başıbozuk,11/24/2008,3:04,43,92,4,0,45,0,10,-3,E Minor,4,8/22/2023,3eEmeP2ydpJDtl0tY91t8Y,RAKUN MÜZİK FİLM,9A,https://p.scdn.co/mp3-preview/aa97fd71f92fc94645ce756fe378965e3d91113c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512ab14cd2b3bdf78a4ced996c
226,Ben Böyleyim,Athena,59,98,"turkish pop, turkish punk, turkish rock","Pop, Rock",Kendi Yolumda (Original Motion Picture Soundtrack),6/9/2023,3:21,48,54,0,0,31,0,10,-9,A Major,4,8/22/2023,2fyT6Vo4tAviaECW9maELI,PASAJ / ATHENA SANAT,11B,https://p.scdn.co/mp3-preview/2381ebec37624f9c08076e6366ae863f72f95036?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485110af720cf855ceae00844731
227,Kafama Göre,Athena,59,120,"turkish pop, turkish punk, turkish rock","Pop, Rock",Altüst,10/11/2014,3:13,47,91,7,0,91,0,20,-5,A Major,4,8/22/2023,3XOpY6WO7bMv87tf1DooG2,PASAJ,11B,https://p.scdn.co/mp3-preview/e6be50a942a11d607e4d6f9fa8ac8d88a784b294?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515aee99ece5e09fe417c59c90
228,Arsız Gönül,Athena,57,138,"turkish pop, turkish punk, turkish rock","Pop, Rock",Pis,1/1/2010,4:20,64,74,2,0,91,0,0,-9,E Minor,4,8/22/2023,5b3SzOsJdsDLYYAcWFS0Ti,PASAJ,9A,https://p.scdn.co/mp3-preview/1b0c605a3ad35cf5f193424da22553b53b6e6831?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485170d66afe2bf7565d0fd90008
229,Serseri Mayın,Athena,48,116,"turkish pop, turkish punk, turkish rock","Pop, Rock",Pis,1/1/2010,4:22,46,79,6,0,86,0,30,-10,G Major,4,8/22/2023,3nennob35sNosI0gsSsfUG,PASAJ,9B,https://p.scdn.co/mp3-preview/0cee87b478537df44786e6c9ec89ea1ed2d377b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485170d66afe2bf7565d0fd90008
230,Ben Böyleyim,Athena,0,98,"turkish pop, turkish punk, turkish rock","Pop, Rock",Ben Böyleyim,2011-00-00,3:21,38,49,1,0,36,0,10,-11,A Major,4,8/22/2023,4O7ZMlEljJBSYU9rFXvpUD,PASAJ,11B,,https://i.scdn.co/image/ab67616d00004851b48418437b2ecdc6c06547d6
231,Her Şey Güzel Olacak,Athena,48,190,"turkish pop, turkish punk, turkish rock","Pop, Rock",Tam Zamanı Şimdi (2000),5/2/2000,3:38,59,93,10,0,85,0,0,-4,A#/B♭ Minor,4,8/22/2023,0oI1040BXriDVkMWDolXfA,SONER MÜZİK,3A,https://p.scdn.co/mp3-preview/39e98ffb2e6df1abf02fda492cf36d9258092420?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485182827221a175db90be63e7ac
232,Beni Sen İnandır,Pinhani,64,106,"oyun havasi, turkish pop, turkish rock","Pop, Rock",Kediköy,1/8/2016,3:44,83,40,49,0,84,0,10,-13,C Major,4,8/22/2023,46UkjegvgJV87vsCyYWvQp,DOĞAN MÜZİK YAPIM,8B,https://p.scdn.co/mp3-preview/0c7cef22757b8a9c9c73db3afe4f636d8cf04767?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517acdac85164150b09b48df35
233,Ne Güzel Güldün,Pinhani,63,52,"oyun havasi, turkish pop, turkish rock","Pop, Rock",Zaman Beklemez,4/18/2008,4:44,26,48,46,0,19,0,10,-8,A#/B♭ Major,4,8/22/2023,79bKKv3MNqU7jec2IFKw7d,BEĞENİ MÜZİK YAPIM,6B,https://p.scdn.co/mp3-preview/884d5c4969fbc4f95c49e8fa0091964e9c80c0e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515535b37249d4346ef1f80113
234,Hele Bi Gel,Pinhani,63,146,"oyun havasi, turkish pop, turkish rock","Pop, Rock",İnandığın Masallar,3/6/2006,3:51,68,58,32,0,62,0,0,-9,A Minor,1,8/22/2023,5nuGiGWV1tGsLYqi0Y8RmZ,BEĞENİ MÜZİK YAPIM,8A,https://p.scdn.co/mp3-preview/31f356f2732e691503cda2fe18f35cb7b0c23a7c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c3d902df0fa095aa87fd94db
235,Dön Bak Dünyaya,Pinhani,58,172,"oyun havasi, turkish pop, turkish rock","Pop, Rock",İnandığın Masallar,3/6/2006,6:33,46,59,8,0,50,0,20,-9,B Minor,4,8/22/2023,7jasmsYWsjrsXTIDI5RApZ,BEĞENİ MÜZİK YAPIM,10A,https://p.scdn.co/mp3-preview/e56219a731327147463c3c652fe60454aa66748f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c3d902df0fa095aa87fd94db
236,Sevmekten Usanmam,Pinhani,62,79,"oyun havasi, turkish pop, turkish rock","Pop, Rock",Zaman Beklemez,4/18/2008,3:52,33,59,69,0,27,0,30,-7,C Major,4,8/22/2023,4xKYhrGZbsvhTJROWc8Aye,BEĞENİ MÜZİK YAPIM,8B,https://p.scdn.co/mp3-preview/58883a24926d6681bbe782ec8672f8e4023457eb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515535b37249d4346ef1f80113
237,Böyle İyi,No.1,69,101,turkish hip hop,Hip Hop,Sen Kötü Bir Rüyasın,6/13/2016,4:32,70,86,4,0,61,0,10,-7,E Major,4,8/22/2023,3fDIlN87QGT3nEPvILhwYP,talentino*,12B,https://p.scdn.co/mp3-preview/b88c79a68ab122495c5326ad4a260d26cfd0d6b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516410bc7547197ffca5624dc5
238,Dünya Gül Bana,"No.1,Heja",67,94,turkish hip hop,Hip Hop,Siyah Bayrak,12/11/2017,4:42,62,61,44,0,55,10,0,-8,C♯/D♭ Minor,4,8/22/2023,2HJg61Sjr6q6ynXbWZgNXF,talentino*,12A,https://p.scdn.co/mp3-preview/2ae97880b4ab12b59b857c438946ffc461b16fcf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1f810029546a89cf33d3790
239,Yarım Kalan Sigara,"No.1,Melek Mosso",72,172,"turkish hip hop, turkish alt pop, turkish pop, turkish rock","Pop, Hip Hop, Rock",Kron1k,3/21/2021,3:03,32,58,0,0,21,0,40,-7,G Minor,4,8/22/2023,0HbKbkAMK7Wnps5vpZW4j2,talentino*,6A,https://p.scdn.co/mp3-preview/230cede1053eb8d09716fd8f1b68e1c887d28aa0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cd40ab5dbc95d9e8b6b9dfa3
240,Pembe Mezarlık,Model,65,140,turkish rock,Rock,Diğer Masallar,2/16/2011,4:15,54,84,23,0,72,0,10,-6,G#/A♭ Minor,4,8/22/2023,1cwth5tNynCfH2ZYCmShDc,GNL,1A,https://p.scdn.co/mp3-preview/54f1763f90f8cad5718d4ab4345f9ea742bfb80c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513f5526e4e33d3ae8d79db0b1
241,Bir Melek Vardı,Model,60,140,turkish rock,Rock,Diğer Masallar,2/16/2011,3:58,50,83,4,0,58,0,10,-6,E Minor,4,8/22/2023,6OFh1Bd1HWPQZukyjS852d,GNL,9A,https://p.scdn.co/mp3-preview/1ffc6f4431381090cc041b709803f3ed3c90cd0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513f5526e4e33d3ae8d79db0b1
242,Mey,Model,66,120,turkish rock,Rock,Mey,3/14/2016,4:47,40,60,45,0,54,0,10,-6,G Minor,4,8/22/2023,2Tv2XmPGs0A8esmc4gBkX4,GNL,6A,https://p.scdn.co/mp3-preview/f3233bf52b13488db81dceac2aa1c02218f40787?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b0126ef6771d5b2d1432c00
243,Antidepresan Gülümsemesi - Pazarlık,Model,64,60,turkish rock,Rock,Levla'nın Hikayesi (Bonus Edition),2013-00-00,4:15,30,65,24,0,55,0,10,-6,A#/B♭ Minor,4,8/22/2023,6WOObPsh0j2ZnfS1hdMusU,GNL Menajerlik,3A,https://p.scdn.co/mp3-preview/7b9d32aeb189065e514895fdac7cf3d4e47a78d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b41ce241a3ee7a4a85ee2eeb
244,Bak Bir Varmis Bir Yokmus,"Model,Levent Yüksel",51,130,"turkish rock, turkish pop","Pop, Rock",Perili Sirk,9/20/2010,2:52,64,83,11,0,85,0,0,-3,C Minor,4,8/22/2023,4TWD0gRUAARZ9FXwxjnWtP,Arista,5A,https://p.scdn.co/mp3-preview/6fe0a691a85f76a5164a0d6b6be5ce1aad47d168?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519f42a3572e05a40ae2f8ea0d
245,Sen Ona Aşıksın - Kabullenme,Model,67,96,turkish rock,Rock,Levla'nın Hikayesi (Bonus Edition),2013-00-00,3:49,59,71,4,0,13,0,0,-7,D Minor,4,8/22/2023,3ihSHXwWbL1vLp1gbrJEEG,GNL Menajerlik,7A,https://p.scdn.co/mp3-preview/afba7074acf7988af63263fdcd2cea9a7a0082c8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b41ce241a3ee7a4a85ee2eeb
246,Ben Sana Aşıktım,Berk Bekar,50,192,,,Ben Sana Aşıktım,6/22/2021,3:48,41,63,25,0,34,10,30,-11,D Minor,4,8/22/2023,76p2iAGMaIPkZVZvZyo7eO,Berk Bekar,7A,https://p.scdn.co/mp3-preview/20b69dab345c8812a0540fb5f75dc2f43aa8b8f4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea6a13108184079a5b05fa36
247,Her Şeyi Yak,Duman,68,100,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Belki Alışman Lazım,10/16/2002,4:30,63,54,46,0,20,0,10,-7,D Major,4,8/22/2023,4uqlFpMPTKO6uAsX6qvK0l,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,10B,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
248,Dibine Kadar,Duman,67,142,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Duman 1,7/6/2010,3:48,44,92,0,0,13,0,10,-7,A Major,4,8/22/2023,5pbFyTdwtJVmZB5LXmccX4,SONY MUSIC TURKEY,11B,https://p.scdn.co/mp3-preview/b0b194d2dc07704bca92f48a3f7cf100db5e3a23?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485119a949e3e4bd668fc41106fc
249,Seni Kendime Sakladım,Duman,66,138,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Seni Kendime Sakladım,7/4/2005,4:02,54,54,55,0,11,0,0,-8,F Minor,4,8/22/2023,4TjX6QIQVSD3j2VAxlR2wa,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,4A,,https://i.scdn.co/image/ab67616d00004851d5a587c7de8efc3ba32bede7
250,Senden Daha Güzel,Duman,65,89,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Duman 2,7/6/2010,3:59,78,44,3,0,64,0,0,-6,E Major,4,8/22/2023,2sLAykCWyB1VA5hXDjU59T,SONY MUSIC TURKEY,12B,https://p.scdn.co/mp3-preview/dafb64816a180eb2f03b412ca5a884d3b8b7f4de?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511d0d71d22c8d179577756208
251,Yürek,Duman,67,128,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Darmaduman,9/12/2013,4:11,67,72,28,0,72,0,10,-7,E Minor,4,8/22/2023,1KS8f2xRqTC3zflbPpFrcM,PASAJ,9A,https://p.scdn.co/mp3-preview/5d7bae5e494a2e48e329eec0fd8aaacacb00a9ff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104a14bda92ba327064436574
252,Köprüaltı,Duman,64,150,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Eski Köprünün Altında,11/5/1999,4:51,59,73,28,0,82,0,0,-6,A Major,4,8/22/2023,43tIlj5mqSjV4DPuDRb5NQ,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,11B,,https://i.scdn.co/image/ab67616d000048512240c0edb98124fb3491084a
253,Bu Akşam,Duman,62,150,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Belki Alışman Lazım,10/16/2002,2:55,48,85,1,0,60,0,30,-6,B Minor,4,8/22/2023,6jo5kjABNphNwXQ8ZyOLtZ,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,10A,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
254,Aman Aman,Duman,63,106,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Seni Kendime Sakladım,7/4/2005,4:05,74,44,36,0,68,0,20,-6,E Major,4,8/22/2023,0NeO8RLuVdFRigkKhjBgbT,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,12B,,https://i.scdn.co/image/ab67616d00004851d5a587c7de8efc3ba32bede7
255,Kırmış Kalbini,Duman,58,84,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Belki Alışman Lazım,10/16/2002,4:39,56,47,9,0,34,0,10,-8,E Major,4,8/22/2023,03FeHgtPLgBfBqKD3J3b4E,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,12B,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
256,Öyle Dertli,Duman,63,95,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Darmaduman,9/12/2013,5:01,56,62,1,1,48,0,40,-6,D Minor,4,8/22/2023,4wFjyPcfGWGYMwnztbzEQd,PASAJ,7A,https://p.scdn.co/mp3-preview/d78269ed20795c0694aac0e7a707363cf114e6c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104a14bda92ba327064436574
257,Öyle Dertli,Duman,0,95,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Darmaduman,9/12/2013,5:01,56,62,1,1,48,0,40,-6,D Minor,4,8/22/2023,3d54yF6CHGO8lzD0470vtS,PASAJ,7A,,https://i.scdn.co/image/ab67616d00004851690c8a1e18cebea2ecfebcd0
258,İyi de Bana Ne,Duman,51,113,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Duman 2,7/6/2010,3:32,58,55,7,2,48,0,10,-9,D Major,4,8/22/2023,4DLetdzFMfQqq722ugexP3,SONY MUSIC TURKEY,10B,https://p.scdn.co/mp3-preview/339f897a3e56259ea3c0a2f577096c7b9223edbb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511d0d71d22c8d179577756208
259,Elleri Ellerime,Duman,60,116,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop",Duman 2,7/6/2010,4:16,67,64,8,0,61,0,10,-8,G Major,4,8/22/2023,0o16NrUwcH3U0fEEPD79VB,SONY MUSIC TURKEY,9B,https://p.scdn.co/mp3-preview/156d885c78a2650ef67b47113430be1e8eedc46f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511d0d71d22c8d179577756208
260,Göklerde Süzülürken,"Anıl Piyancı,Kaan Boşnak",50,88,"turkce drill, turkish hip hop, turkish trap, turkish alt pop, turkish rock","Pop, Hip Hop, Rock",Göklerde Süzülürken,12/10/2021,3:10,63,62,7,0,37,10,10,-8,F Minor,4,8/22/2023,1OGVpaGlCnrjrR9UtlWMeP,SONY MUSIC TURKEY,4A,https://p.scdn.co/mp3-preview/a67e06010db0a1306298ee688e6167581d6efdb6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b9ed9ddbda77a0d549c5eba1
261,Sarılırım Birine,Adamlar,66,130,turkish rock,Rock,Dünya Günlükleri,4/12/2019,6:33,63,71,19,1,33,0,20,-8,A Major,4,8/22/2023,0d7qHnB6CNvn1UsO5i3ElE,GARAJ,11B,https://p.scdn.co/mp3-preview/d3c7e8a2d15f54c662fee041ece0ba42a74d326d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510b362fca4833c8d3b0cc5616
